CITY,STATE,AREA,IDHM,IBGE_RES_POP,IBGE_POP
Paiva,MG,58.42,0.72,1558,1218
Piranguinho,MG,124.8,0.72,8016,4762
Ponte Nova,MG,470.64,0.72,57390,51046
Santo Antônio Do Monte,MG,NaN,0.72,25975,21302
São João Batista Do Glória,MG,547.91,0.72,6887,5579
São José Do Alegre,MG,88.79,0.72,3996,2894
Tupaciguara,MG,NaN,0.72,24188,21636
Ubá,MG,407.45,0.72,101519,96248
Ibiá,MG,NaN,0.718,23218,19484
Lagamar,MG,NaN,0.718,7600,5098
Tombos,MG,285.12,0.718,9537,7556
Diamantina,MG,NaN,0.716,45880,40491
Goianá,MG,152.04,0.716,3659,2969
Jacutinga,MG,347.67,0.715,22772,15560
Machado,MG,585.96,0.715,38688,31371
Nova Serrana,MG,282.47,0.715,73699,69346
Paraguaçu,MG,424.3,0.715,20245,16567
Passa Quatro,MG,277.22,0.715,15582,11611
Santa Luzia,MG,235.08,0.715,202942,191977
São Gonçalo Do Sapucaí,MG,516.68,0.715,23906,19637
São Vicente De Minas,MG,392.65,0.715,7008,5927
Curvelo,MG,NaN,0.713,74219,66960
Itapecerica,MG,NaN,0.713,21377,16418
Campo Belo,MG,528.23,0.711,51544,47527
Chiador,MG,252.85,0.711,2785,1904
Lambari,MG,213.11,0.711,19554,13973
Medeiros,MG,946.44,0.711,3444,1934
Varjão De Minas,MG,651.61,0.711,6054,4998
Campanha,MG,335.59,0.71,15433,13202
Capitólio,MG,521.8,0.71,8183,5002
Carmo Do Cajuru,MG,455.81,0.71,20012,17689
Cláudio,MG,630.71,0.71,25771,20725
Conceição Das Alagoas,MG,NaN,0.71,23043,20619
Congonhal,MG,205.13,0.71,10468,7693
Dom Silvério,MG,194.97,0.71,5196,4023
Estrela Dalva,MG,131.37,0.71,2470,1780
Iguatama,MG,628.2,0.71,8029,6668
Ijaci,MG,105.25,0.71,5859,5151
Laranjal,MG,204.88,0.71,6465,4738
Leandro Ferreira,MG,352.01,0.71,3205,2117
Lima Duarte,MG,848.56,0.71,16149,12239
Limeira Do Oeste,MG,NaN,0.71,6890,4943
Matutina,MG,260.96,0.71,3761,2683
Monte Santo De Minas,MG,594.63,0.71,21234,16267
Nova Era,MG,361.93,0.71,17528,15386
Pirapetinga,MG,190.68,0.71,10364,9089
Planura,MG,317.52,0.71,10384,9326
Pouso Alto,MG,263.03,0.71,6213,3605
Rio Novo,MG,209.31,0.71,8712,7490
Rio Paranaíba,MG,NaN,0.71,11885,7876
Rio Pomba,MG,252.42,0.71,17110,14384
Santa Bárbara,MG,684.06,0.71,27876,25790
Santa Vitória,MG,NaN,0.71,18138,14334
Tapira,MG,NaN,0.71,4112,2404
Visconde Do Rio Branco,MG,243.35,0.71,37942,32204
Araporã,MG,295.84,0.708,6144,5848
Coromandel,MG,NaN,0.708,27547,21503
Pedra Do Indaiá,MG,347.92,0.708,3875,2052
Romaria,MG,407.56,0.708,3596,2707
São João Nepomuceno,MG,407.43,0.708,25057,23687
Cachoeira De Minas,MG,304.24,0.706,11034,7000
Caetanópolis,MG,156.04,0.706,10218,8351
Campo Florido,MG,NaN,0.706,6870,4412
Caratinga,MG,NaN,0.706,85239,67042
Douradoquara,MG,312.88,0.706,1841,1232
Ibiraci,MG,562.1,0.706,12176,8137
Santa Cruz De Minas,MG,3.57,0.706,7865,7861
Santa Juliana,MG,723.78,0.706,11337,9757
Carmo Do Paranaíba,MG,NaN,0.705,29735,24601
Itamonte,MG,431.79,0.705,14003,9550
Santa Rosa Da Serra,MG,284.33,0.705,3224,1956
Conceição Dos Ouros,MG,180.24,0.703,10388,8076
Lagoa Formosa,MG,840.92,0.703,17161,12898
Palma,MG,316.48,0.703,6545,5108
Perdigão,MG,249.32,0.703,8912,7062
Dona Eusébia,MG,70.23,0.701,6001,5105
Guaranésia,MG,294.83,0.701,18714,16723
Nanuque,MG,NaN,0.701,40834,36579
Nova Ponte,MG,NaN,0.701,12812,10952
Presidente Olegário,MG,NaN,0.701,18577,13036
Teófilo Otoni,MG,NaN,0.701,134745,112361
Andrelândia,MG,NaN,0.7,12173,9735
Arantina,MG,89.42,0.7,2823,2633
Boa Esperança,MG,860.67,0.7,38516,32047
Bocaiúva,MG,NaN,0.7,46654,36443
Botelhos,MG,334.09,0.7,14920,11255
Cambuquira,MG,246.38,0.7,12602,10352
Campina Verde,MG,NaN,0.7,19324,14307
Campos Altos,MG,710.65,0.7,14206,12861
Carandaí,MG,487.28,0.7,23346,18164
Carmópolis De Minas,MG,400.01,0.7,17048,11739
Cássia,MG,665.8,0.7,17412,13945
Comendador Gomes,MG,NaN,0.7,2972,1508
Conceição Do Pará,MG,250.31,0.7,5158,2005
Dionísio,MG,339.38,0.7,8739,7122
Ibirité,MG,72.57,0.7,158954,158253
Ingaí,MG,305.59,0.7,2629,1620
Inhaúma,MG,245,0.7,5760,4190
João Pinheiro,MG,NaN,0.7,45260,36598
Madre De Deus De Minas,MG,492.91,0.7,4904,3714
Manhumirim,MG,182.9,0.7,21382,16895
Maria Da Fé,MG,202.9,0.7,14216,8281
Mário Campos,MG,35.2,0.7,13192,11929
Mateus Leme,MG,301.38,0.7,27856,24603
Oliveira,MG,897.29,0.7,39466,35099
São José Da Varginha,MG,205.5,0.7,4198,2369
São Tomás De Aquino,MG,277.93,0.7,7093,5486
Silvianópolis,MG,312.17,0.7,6027,3494
Soledade De Minas,MG,196.87,0.7,5676,3761
Abaeté,MG,NaN,0.698,22690,18464
Araújos,MG,245.52,0.698,7883,6751
Campestre,MG,577.84,0.698,20686,11392
Claraval,MG,227.63,0.698,4542,2518
Igarapé,MG,110.94,0.698,34851,32518
Santana Da Vargem,MG,172.44,0.698,7231,5277
Cruzeiro Da Fortaleza,MG,187.72,0.696,3934,3342
Estrela Do Sul,MG,822.45,0.696,7446,6009
Fortuna De Minas,MG,198.71,0.696,2705,1859
Ipiaçu,MG,466.02,0.696,4107,3731
Janaúba,MG,NaN,0.696,66803,60294
Morada Nova De Minas,MG,NaN,0.696,8255,6396
Serra Do Salitre,MG,NaN,0.696,10549,7728
Tocos Do Moji,MG,114.71,0.696,3950,1017
Turvolândia,MG,221,0.696,4658,2860
Vargem Bonita,MG,409.89,0.696,2163,1142
Araçaí,MG,187.54,0.695,2243,1783
Capim Branco,MG,95.33,0.695,8881,8046
Carangola,MG,353.4,0.695,32296,26105
Cristiano Otoni,MG,132.87,0.695,5007,4152
Cruzília,MG,522.42,0.695,14591,13235
Iraí De Minas,MG,356.26,0.695,6467,5152
Prata,MG,NaN,0.695,25802,19257
Guimarânia,MG,366.83,0.693,7265,5914
Ipanema,MG,456.64,0.693,18170,14133
Natércia,MG,188.72,0.693,4658,2721
Conceição Da Aparecida,MG,352.52,0.691,9820,6155
Estiva,MG,243.87,0.691,10845,4850
Itaguara,MG,410.47,0.691,12372,9460
Poço Fundo,MG,474.24,0.691,15959,9212
Abadia Dos Dourados,MG,881.06,0.69,6704,4154
Astolfo Dutra,MG,158.89,0.69,13049,11854
Bandeira Do Sul,MG,47.27,0.69,5338,4824
Belo Oriente,MG,334.91,0.69,23397,19607
Bom Sucesso,MG,705.05,0.69,17243,14116
Brazópolis,MG,367.69,0.69,14661,7777
Camacho,MG,223,0.69,3154,1458
Camanducaia,MG,528.69,0.69,21080,15290
Carmo Da Mata,MG,357.18,0.69,10927,8185
Coqueiral,MG,296.16,0.69,9289,6556
Córrego Danta,MG,657.43,0.69,3391,2080
Córrego Do Bom Jesus,MG,123.65,0.69,3730,2044
Cristais,MG,628.43,0.69,11286,8793
Dores De Campos,MG,124.84,0.69,9299,8396
Doresópolis,MG,152.91,0.69,1440,1131
Guanhães,MG,NaN,0.69,31262,25318
Guarda-Mor,MG,NaN,0.69,6565,3681
Inconfidentes,MG,149.61,0.69,6908,3598
Ipuiúna,MG,298.2,0.69,9521,7382
Jequitibá,MG,445.03,0.69,5156,1956
Manhuaçu,MG,628.32,0.69,79574,63209
Nazareno,MG,341.45,0.69,7954,6217
Paraopeba,MG,625.62,0.69,22563,19584
Pequeri,MG,90.83,0.69,3165,2908
Pimenta,MG,414.97,0.69,8236,6879
Pompéu,MG,NaN,0.69,29105,25352
Prados,MG,264.12,0.69,8391,5872
Prudente De Morais,MG,124.19,0.69,9573,9120
Recreio,MG,234.3,0.69,10299,9048
Santa Rita De Caldas,MG,503.01,0.69,9027,5532
Santana De Cataguases,MG,161.49,0.69,3622,2913
São Domingos Do Prata,MG,743.77,0.69,17357,10434
São Gonçalo Do Pará,MG,265.73,0.69,10398,7940
São Sebastião Da Bela Vista,MG,167.43,0.69,4948,2776
Biquinhas,MG,458.95,0.688,2630,1635
Dom Cavati,MG,59.52,0.688,5209,4595
Itamarati De Minas,MG,94.57,0.688,4079,3208
Monte Belo,MG,421.28,0.688,13061,8953
São Francisco De Sales,MG,NaN,0.688,5776,4293
Tocantins,MG,173.87,0.688,15823,12844
