CITY,STATE,AREA,IDHM,IBGE_RES_POP,IBGE_POP
Alagoa,MG,161.36,0.649,2709,1099
Barão De Monte Alto,MG,198.31,0.649,5720,4516
Canaã,MG,174.9,0.649,4628,1846
Cabeceira Grande,MG,NaN,0.648,6453,5283
Capela Nova,MG,111.07,0.648,4755,2125
Carlos Chagas,MG,NaN,0.648,20069,12898
Felixlândia,MG,NaN,0.648,14121,10850
Frei Inocêncio,MG,469.56,0.648,8920,6728
Morro Da Garça,MG,414.77,0.648,2660,1520
Passa Vinte,MG,246.57,0.648,2079,1295
Rio Manso,MG,231.54,0.648,5276,2802
Santa Maria De Itabira,MG,597.44,0.648,10552,6278
São João Do Oriente,MG,120.12,0.648,7874,6319
Goiabeira,MG,112.44,0.647,3053,2464
Munhoz,MG,191.56,0.647,6257,3310
Santana Do Jacaré,MG,106.17,0.647,4607,4382
Santana Dos Montes,MG,196.57,0.647,3822,2285
Águas Formosas,MG,820.08,0.645,18479,14230
Antônio Dias,MG,787.06,0.645,9565,4662
Bocaina De Minas,MG,503.77,0.645,5007,2396
Durandé,MG,217.46,0.645,7423,3546
Taparuba,MG,193.08,0.645,3137,1405
Engenheiro Caldas,MG,187.06,0.644,10280,8325
Mutum,MG,NaN,0.644,26661,13711
São Miguel Do Anta,MG,152.11,0.644,6760,3738
Senador Firmino,MG,166.5,0.644,7230,4642
Argirita,MG,159.38,0.643,2901,2192
Jequitaí,MG,NaN,0.643,8005,5427
Serranos,MG,213.17,0.643,1995,1536
Almenara,MG,NaN,0.642,38775,31551
Coração De Jesus,MG,NaN,0.642,26033,14668
Manga,MG,NaN,0.642,19813,13766
Passabém,MG,94.18,0.642,1766,1010
Amparo Do Serra,MG,136.19,0.64,5053,2623
Formoso,MG,NaN,0.64,8177,5162
Itacarambi,MG,NaN,0.64,17720,13771
Machacalis,MG,332.38,0.64,6976,5735
Nova Porteirinha,MG,120.94,0.64,7398,4065
Santa Maria Do Suaçuí,MG,624.05,0.64,14395,10538
São Gonçalo Do Rio Preto,MG,314.46,0.64,3056,1939
São João Do Manteninha,MG,137.93,0.64,5188,2904
São Romão,MG,NaN,0.64,10276,6413
Capitão Enéas,MG,971.58,0.639,14206,11503
Delta,MG,102.78,0.639,8089,7329
Desterro De Entre Rios,MG,377.17,0.639,7002,3568
Piedade De Ponte Nova,MG,83.73,0.639,4062,3156
Carbonita,MG,NaN,0.638,9148,6710
Jaíba,MG,NaN,0.638,33587,17546
Moeda,MG,155.11,0.638,4689,1787
Sabinópolis,MG,919.81,0.638,15704,10099
São Domingos Das Dores,MG,60.87,0.638,5408,2573
São Francisco,MG,NaN,0.638,53828,34060
São João Evangelista,MG,478.18,0.638,15553,10057
Simão Pereira,MG,135.69,0.638,2537,1496
Umburatiba,MG,405.83,0.638,2705,1554
Bonfim,MG,301.87,0.637,6818,3305
Joaquim Felício,MG,790.94,0.637,4305,2506
Oratórios,MG,89.07,0.637,4493,3240
Paula Cândido,MG,268.32,0.637,9271,4915
Pedro Teixeira,MG,112.96,0.637,1785,965
Santa Bárbara Do Tugúrio,MG,194.56,0.637,4570,2187
Dores De Guanhães,MG,382.12,0.636,5223,1622
Olaria,MG,178.24,0.636,1976,917
Sardoá,MG,141.9,0.636,5594,1979
Chapada Gaúcha,MG,NaN,0.635,10805,5717
Itueta,MG,452.68,0.635,5830,3289
Martins Soares,MG,113.27,0.635,7173,2917
Oliveira Fortes,MG,111.13,0.635,2123,1171
Caranaíba,MG,159.95,0.634,3288,1176
Conceição Do Mato Dentro,MG,NaN,0.634,17908,12213
Entre Folhas,MG,85.39,0.634,5175,3885
Itambacuri,MG,NaN,0.634,22809,14445
Itambé Do Mato Dentro,MG,380.34,0.634,2283,907
Lagoa Dos Patos,MG,600.55,0.634,4225,3073
Porto Firme,MG,284.78,0.634,10417,4811
São João Da Lagoa,MG,998.02,0.634,4656,2388
Vargem Grande Do Rio Pardo,MG,491.51,0.634,4733,2421
Caiana,MG,106.47,0.633,4968,2495
Minas Novas,MG,NaN,0.633,30794,12471
Santo Antônio Do Grama,MG,130.21,0.633,4085,3365
Serranópolis De Minas,MG,551.95,0.633,4425,1725
Tarumirim,MG,731.75,0.633,14293,7950
Urucânia,MG,138.79,0.633,10291,7928
Córrego Novo,MG,205.39,0.632,3127,2034
José Gonçalves De Minas,MG,381.33,0.632,4553,1135
Presidente Bernardes,MG,236.8,0.632,5537,1626
Riachinho,MG,NaN,0.632,8007,4429
São Sebastião Do Rio Preto,MG,128,0.632,1613,873
Simonésia,MG,486.54,0.632,18298,7072
Veredinha,MG,631.69,0.632,5549,3761
Cantagalo,MG,141.86,0.631,4195,2477
Desterro Do Melo,MG,142.28,0.631,3015,1375
Matipó,MG,266.99,0.631,17639,13766
Senhora De Oliveira,MG,170.75,0.631,5683,3241
Sobrália,MG,206.79,0.631,5830,4128
Vargem Alegre,MG,116.66,0.631,6461,5256
Acaiaca,MG,101.89,0.63,3920,2550
Nova Módica,MG,375.97,0.63,3790,2321
Santa Rita De Ibitipoca,MG,324.23,0.63,3583,2232
São Geraldo Do Baixio,MG,280.95,0.63,3486,2438
Dores Do Turvo,MG,231.17,0.629,4462,2022
Itaobim,MG,679.02,0.629,21001,15673
Lassance,MG,NaN,0.629,6484,3872
Piau,MG,192.2,0.629,2841,1669
Reduto,MG,151.86,0.629,6569,3648
Berilo,MG,587.11,0.628,12300,3883
Itacambira,MG,NaN,0.628,4988,1004
Jordânia,MG,546.71,0.628,10324,7171
Santana De Pirapama,MG,NaN,0.628,8009,3297
Bugre,MG,161.91,0.627,3992,1529
Coronel Murta,MG,815.41,0.627,9117,6681
Cuparaque,MG,226.75,0.627,4680,3877
Espinosa,MG,NaN,0.627,31113,17597
Itaverava,MG,284.22,0.627,5799,2565
Pavão,MG,601.19,0.627,8589,5176
Peçanha,MG,996.65,0.627,17260,9035
Pedra Azul,MG,NaN,0.627,23839,20912
Riacho Dos Machados,MG,NaN,0.627,9360,4497
Coroaci,MG,576.27,0.626,10270,5168
Joanésia,MG,233.29,0.626,5425,2060
Mendes Pimentel,MG,305.51,0.626,6331,3447
Olhos-D'Água,MG,NaN,0.626,5267,2861
Piedade Dos Gerais,MG,259.64,0.626,4640,2077
Pocrane,MG,691.07,0.626,8986,5374
São Sebastião Do Oeste,MG,408.09,0.626,5805,2927
Senhora Dos Remédios,MG,237.82,0.626,10196,3421
Tumiritinga,MG,500.07,0.626,6293,4316
Brás Pires,MG,223.35,0.625,4637,2202
Ervália,MG,357.49,0.625,17946,9422
Francisco Dumont,MG,NaN,0.625,4863,3186
Paulistas,MG,220.56,0.625,4918,2290
Santa Cruz Do Escalvado,MG,258.73,0.625,4992,1728
São João Do Pacuí,MG,415.92,0.625,4060,1921
Barra Longa,MG,383.63,0.624,6143,2304
Braúnas,MG,378.32,0.624,5030,1593
Buritizeiro,MG,NaN,0.624,26922,23526
Caparaó,MG,130.69,0.624,5209,2005
Capitão Andrade,MG,279.09,0.624,4925,3569
Icaraí De Minas,MG,625.66,0.624,10746,2973
Jenipapo De Minas,MG,284.45,0.624,7116,2863
Medina,MG,NaN,0.624,21026,15048
Pedra Do Anta,MG,173.17,0.624,3365,2191
Poté,MG,625.11,0.624,15667,9299
Rio Pardo De Minas,MG,NaN,0.624,29099,11636
Bom Jesus Do Galho,MG,592.29,0.623,15364,9975
Divinolândia De Minas,MG,133.12,0.623,7024,5751
Guaraciaba,MG,348.6,0.623,10223,3173
Dom Joaquim,MG,398.82,0.622,4535,2919
Francisco Badaró,MG,461.48,0.622,10248,3170
São Pedro Do Suaçuí,MG,308.11,0.622,5570,2302
Campo Azul,MG,505.91,0.621,3684,1540
Catuti,MG,287.81,0.621,5102,2974
Cônego Marinho,MG,NaN,0.621,7101,1908
Santana Do Manhuaçu,MG,347.36,0.621,8582,4133
Alto Rio Doce,MG,518.05,0.62,12159,4991
Bias Fortes,MG,283.54,0.62,3793,1497
Jacinto,MG,NaN,0.62,12134,9115
São Félix De Minas,MG,162.56,0.62,3382,2082
Senador Modestino Gonçalves,MG,952.06,0.62,4574,1786
Virgolândia,MG,281.02,0.62,5658,3392
Pingo D'Água,MG,66.57,0.619,4420,4029
Urucuia,MG,NaN,0.619,13604,6152
Malacacheta,MG,727.89,0.618,18776,11701
Mamonas,MG,284.37,0.618,6321,2808
Cajuri,MG,83.04,0.617,4047,2093
José Raydan,MG,180.82,0.617,4376,1560
Campanário,MG,442.4,0.616,3564,2647
Datas,MG,310.1,0.616,5211,3087
Matias Cardoso,MG,NaN,0.616,9979,5131
Novorizonte,MG,271.61,0.616,4963,1717
Caputira,MG,187.7,0.615,9030,3778
Jequitinhonha,MG,NaN,0.615,24131,16853
Marilac,MG,158.81,0.615,4219,3417
Santa Fé De Minas,MG,NaN,0.615,3968,2262
São João Do Paraíso,MG,NaN,0.615,22319,10219
Ibiaí,MG,874.76,0.614,7839,5980
Luislândia,MG,411.71,0.614,6400,2989
Patis,MG,444.2,0.614,5579,2297
Pedras De Maria Da Cruz,MG,NaN,0.614,10315,6323
Presidente Juscelino,MG,695.88,0.614,3908,1846
Ubaporanga,MG,189.05,0.614,12040,6419
Montalvânia,MG,NaN,0.613,15862,10210
Santa Bárbara Do Leste,MG,107.4,0.613,7682,3959
Santa Maria Do Salto,MG,440.61,0.613,5284,3739
Santa Rita De Minas,MG,68.15,0.613,6547,4746
Mathias Lobato,MG,172.3,0.612,3370,3060
Piedade De Caratinga,MG,109.35,0.612,7110,4592
Vermelho Novo,MG,115.24,0.612,4689,1849
Açucena,MG,815.42,0.61,10276,4790
Indaiabira,MG,NaN,0.61,7330,2742
Santa Margarida,MG,255.73,0.61,15011,7612
Virgem Da Lapa,MG,868.91,0.61,13619,6837
Divisópolis,MG,572.93,0.609,8974,6390
Jampruca,MG,517.1,0.609,5067,3256
Rubim,MG,965.17,0.609,9919,7678
Ubaí,MG,820.52,0.609,11681,5648
Divisa Alegre,MG,117.8,0.608,5884,5686
Japonvar,MG,375.23,0.608,8298,3042
Luisburgo,MG,145.42,0.608,6234,1836
Salto Da Divisa,MG,938.01,0.608,6859,5743
Santa Efigênia De Minas,MG,131.97,0.607,4600,3044
Santa Rita Do Itueto,MG,485.08,0.607,5697,2566
São Sebastião Do Anta,MG,80.62,0.607,5739,4205
Felício Dos Santos,MG,357.62,0.606,5142,2221
Gonzaga,MG,209.35,0.606,5921,3221
Ponto Chique,MG,602.8,0.606,3966,2577
Santa Bárbara Do Monte Verde,MG,417.93,0.606,2788,1607
Divino,MG,337.78,0.605,19133,10652
Rio Do Prado,MG,479.82,0.605,5217,2717
Berizal,MG,488.76,0.604,4370,2475
Grão Mogol,MG,NaN,0.604,15024,5188
Ferros,MG,NaN,0.603,10837,5028
Franciscópolis,MG,717.09,0.603,5800,2396
Botumirim,MG,NaN,0.602,6497,3470
Rio Espera,MG,238.6,0.602,6070,2377
Águas Vermelhas,MG,NaN,0.601,12722,8932
Diogo De Vasconcelos,MG,165.09,0.601,3848,1096
Jequeri,MG,547.9,0.601,12848,7250
Catas Altas Da Noruega,MG,141.62,0.6,3462,1428
Itinga,MG,NaN,0.6,14407,6546
Piranga,MG,658.81,0.6,17232,5899
São Geraldo Da Piedade,MG,152.34,0.6,4389,1048
Bandeira,MG,483.79,0.599,4987,1789
Padre Carvalho,MG,446.28,0.599,5834,3462
Chapada Do Norte,MG,830.83,0.598,15189,5689
Angelândia,MG,185.21,0.597,8003,4036
Materlândia,MG,280.53,0.597,4595,2005
Morro Do Pilar,MG,477.55,0.597,3399,2581
Padre Paraíso,MG,544.38,0.596,18849,11494
Ouro Verde De Minas,MG,175.48,0.595,6016,3613
Ponto Dos Volantes,MG,NaN,0.595,11345,4025
Presidente Kubitschek,MG,189.24,0.595,2959,2012
Bertópolis,MG,427.8,0.594,4498,2721
Pintópolis,MG,NaN,0.594,7211,2532
Varzelândia,MG,814.99,0.594,19116,8877
Comercinho,MG,654.96,0.593,8298,3545
Miravânia,MG,602.13,0.593,4549,1072
Ibiracatu,MG,353.41,0.591,6155,3116
Alvarenga,MG,278.17,0.59,4444,2109
Frei Gaspar,MG,626.67,0.59,5879,1916
Fronteira Dos Vales,MG,320.76,0.59,4687,3021
Joaíma,MG,NaN,0.59,14941,10241
Juvenília,MG,NaN,0.59,5708,4384
Montezuma,MG,NaN,0.59,7464,3074
Nova Belém,MG,146.78,0.59,3732,1348
Pai Pedro,MG,839.81,0.59,5934,1742
Ataléia,MG,NaN,0.588,14455,7176
Crisólita,MG,966.2,0.585,6047,3485
Curral De Dentro,MG,570.95,0.585,6913,5820
Nacip Raydan,MG,233.49,0.585,3154,1960
Verdelândia,MG,NaN,0.584,8346,4698
Coluna,MG,348.49,0.583,9024,3770
Cristália,MG,840.7,0.583,5760,3038
Felisburgo,MG,596.22,0.583,6877,5034
São José Da Safira,MG,213.88,0.583,4075,2944
Mata Verde,MG,227.54,0.581,7874,6387
São Sebastião Do Maranhão,MG,517.83,0.581,10647,3237
Água Boa,MG,NaN,0.58,15195,6987
Aricanduva,MG,243.33,0.58,4770,1684
Fervedouro,MG,357.68,0.58,10349,4745
Rubelita,MG,NaN,0.58,7772,2514
Santa Cruz De Salinas,MG,589.61,0.58,4397,1150
Cipotânea,MG,153.48,0.579,6547,2993
Cachoeira De Pajeú,MG,695.67,0.578,8959,4460
Santo Antônio Do Jacinto,MG,503.71,0.574,11775,6341
Pedra Bonita,MG,173.93,0.573,6673,1805
Alvorada De Minas,MG,374.01,0.57,3546,1441
Novo Cruzeiro,MG,NaN,0.57,30725,10471
Santa Helena De Minas,MG,276.43,0.57,6055,3760
Santo Antônio Do Retiro,MG,796.29,0.57,6955,1590
São José Do Jacuri,MG,345.15,0.57,6553,2000
São João Da Ponte,MG,NaN,0.569,25358,8616
Congonhas Do Norte,MG,405.67,0.568,4943,2582
Palmópolis,MG,433.15,0.565,6931,4463
Senhora Do Porto,MG,381.33,0.565,3497,1580
Josenópolis,MG,541.39,0.564,4566,2443
Orizânia,MG,121.8,0.562,7284,2221
Caraí,MG,NaN,0.56,22343,8799
Rio Vermelho,MG,986.56,0.56,13645,5443
Santo Antônio Do Itambé,MG,305.74,0.56,4135,1230
Sericita,MG,166.01,0.56,7128,3717
Serra Azul De Minas,MG,218.6,0.557,4220,1706
Ninheira,MG,NaN,0.556,9815,2614
Novo Oriente De Minas,MG,755.15,0.555,10339,4408
Itaipé,MG,480.83,0.552,11798,4912
Imbé De Minas,MG,196.74,0.55,6424,2037
Fruta De Leite,MG,762.84,0.544,5940,2036
Setubinha,MG,534.66,0.542,10885,2790
Ladainha,MG,866.29,0.541,16994,4268
Monte Formoso,MG,385.55,0.541,4656,1696
Catuji,MG,419.38,0.54,6708,1666
Frei Lagonegro,MG,167.47,0.54,3329,616
Bonito De Minas,MG,NaN,0.537,9673,2201
Araponga,MG,303.79,0.536,8152,3022
São João Das Missões,MG,678.27,0.529,11715,2431
