210125 Bacabeira,...,0.5137,0.5571
210130 Bacuri,0.4829,0.6983,0.5787
210135 Bacurituba,...,0.5692,0.5512
210140 Balsas,0.5674,0.7108,0.5923
210150 Bar�o de Graja�,0.5228,0.6314,0.5324
210160 Barra do Corda,0.6153,0.6438,0.6321
210170 Barreirinhas,0.4757,0.6335,0.6133
210177 Bela Vista do Maranh�o,...,0.6078,0.5041
210173 Bel�gua,...,0.6929,0.6285
210180 Benedito Leite,0.5158,0.5442,0.5917
210190 Bequim�o,0.5005,0.6218,0.5575
210193 Bernardo do Mearim,...,0.4622,0.4736
210197 Boa Vista do Gurupi,...,0.4677,0.521
210200 Bom Jardim,0.5337,0.6232,0.5904
210203 Bom Jesus das Selvas,...,0.5728,0.6659
210207 Bom Lugar,...,0.5621,0.4934
210210 Brejo,0.5412,0.7176,0.6495
210215 Brejo de Areia,...,0.4916,0.4897
210220 Buriti,0.4027,0.5388,0.619
210230 Buriti Bravo,0.5651,0.5613,0.5502
210232 Buriticupu,...,0.6231,0.5965
210235 Buritirana,...,0.5134,0.5059
210237 Cachoeira Grande,...,0.4776,0.5733
210240 Cajapi�,0.3945,0.4964,0.5865
210250 Cajari,0.3927,0.4368,0.6273
210255 Campestre do Maranh�o,...,0.6084,0.4829
210260 C�ndido Mendes,0.5145,0.4385,0.5839
210270 Cantanhede,0.4825,0.5528,0.6062
210275 Capinzal do Norte,...,0.5201,0.5735
210280 Carolina,0.5665,0.6512,0.5624
210290 Carutapera,0.4314,0.5415,0.5465
210300 Caxias,0.5324,0.6162,0.5534
210310 Cedral,0.4125,0.4663,0.5677
210312 Central do Maranh�o,...,0.5311,0.5397
210315 Centro do Guilherme,...,0.7084,0.5694
210317 Centro Novo do Maranh�o,...,0.5718,0.5576
210320 Chapadinha,0.5631,0.6004,0.6019
210325 Cidel�ndia,...,0.5472,0.4731
210330 Cod�,0.5185,0.6175,0.5807
210340 Coelho Neto,0.5091,0.568,0.5525
210350 Colinas,0.6853,0.6158,0.6306
210355 Concei��o do Lago-A�u,...,0.4555,0.5061
210360 Coroat�,0.4838,0.6228,0.5927
210370 Cururupu,0.4636,0.5812,0.579
210375 Davin�polis,...,0.4632,0.4488
210380 Dom Pedro,0.6186,0.5773,0.4949
210390 Duque Bacelar,0.4777,0.5682,0.6053
210400 Esperantin�polis,0.5129,0.5878,0.5988
210405 Estreito,0.5854,0.6264,0.581
210407 Feira Nova do Maranh�o,...,0.5673,0.6306
210408 Fernando Falc�o,...,0.5831,0.5493
210409 Formosa da Serra Negra,...,0.8138,0.6331
210410 Fortaleza dos Nogueiras,0.6342,0.6361,0.5358
210420 Fortuna,0.5146,0.6297,0.5703
210430 Godofredo Viana,0.4939,0.5998,0.5035
210440 Gon�alves Dias,0.6642,0.4629,0.5976
210450 Governador Archer,0.5954,0.5042,0.5557
210455 Governador Edison Lob�o,...,0.5474,0.4708
210460 Governador Eug�nio Barros,0.4796,0.5341,0.5795
210462 Governador Luiz Rocha,...,0.4791,0.5628
210465 Governador Newton Bello,...,0.5415,0.5258
210467 Governador Nunes Freire,...,0.6283,0.5675
210470 Gra�a Aranha,0.3764,0.4632,0.5392
210480 Graja�,0.5468,0.5766,0.6239
210490 Guimar�es,0.5512,0.5699,0.561
210500 Humberto de Campos,0.4501,0.5439,0.6312
210510 Icatu,0.4121,0.6039,0.5876
210515 Igarap� do Meio,...,0.5534,0.508
210520 Igarap� Grande,0.4904,0.4894,0.5319
210530 Imperatriz,0.6242,0.6087,0.5612
210535 Itaipava do Graja�,...,0.6029,0.5566
210540 Itapecuru Mirim,0.4965,0.5466,0.5733
210542 Itinga do Maranh�o,...,0.7014,0.5403
210545 Jatob�,...,0.5042,0.58
210547 Jenipapo dos Vieiras,...,0.5689,0.6711
210550 Jo�o Lisboa,0.4823,0.5289,0.4549
210560 Josel�ndia,0.4875,0.5817,0.5768
210565 Junco do Maranh�o,...,0.5135,0.5219
210570 Lago da Pedra,0.5213,0.6076,0.5615
210580 Lago do Junco,0.4497,0.5541,0.6074
210594 Lago dos Rodrigues,...,0.4928,0.4774
210590 Lago Verde,0.4049,0.5618,0.5135
210592 Lagoa do Mato,...,0.6879,0.527
210596 Lagoa Grande do Maranh�o,...,0.5126,0.5471
210598 Lajeado Novo,...,0.5204,0.598
