,name_x,cases,IDHM,IBGE_POP
172,Central de Minas,118,0.665,5594
173,Centralina,200,0.68,9295
174,Chácara,27,0.664,1903
175,Chalé,149,0.655,2781
176,Chapada do Norte,4,0.598,5689
177,Chapada Gaúcha,69,0.635,5717
178,Chiador,95,0.711,1904
179,Cipotânea,21,0.579,2993
180,Claraval,49,0.698,2518
181,Claro dos Poções,47,0.67,5249
182,Cláudio,459,0.71,20725
183,Coimbra,51,0.669,5143
184,Coluna,21,0.583,3770
185,Comendador Gomes,160,0.7,1508
186,Comercinho,39,0.593,3545
187,Conceição da Aparecida,28,0.691,6155
188,Conceição das Pedras,30,0.67,1509
189,Conceição das Alagoas,1023,0.71,20619
190,Conceição de Ipanema,54,0.68,1462
191,Conceição do Mato Dentro,743,0.634,12213
192,Conceição do Pará,63,0.7,2005
193,Conceição do Rio Verde,35,0.665,11353
194,Conceição dos Ouros,124,0.703,8076
195,Cônego Marinho,9,0.621,1908
196,Confins,62,0.747,5396
197,Congonhal,200,0.71,7693
198,Congonhas,1414,0.753,47032
199,Congonhas do Norte,25,0.568,2582
200,Conquista,206,0.73,5621
201,Conselheiro Lafaiete,1142,0.76,110658
202,Conselheiro Pena,356,0.662,17446
203,Consolação,8,0.67,949
204,Contagem,10126,0.76,595593
205,Coqueiral,43,0.69,6556
206,Coração de Jesus,105,0.642,14668
207,Cordisburgo,61,0.66,5947
208,Cordislândia,48,0.66,2728
209,Corinto,221,0.68,21041
210,Coroaci,59,0.626,5168
211,Coromandel,265,0.708,21503
212,Coronel Fabriciano,3883,0.755,99429
213,Coronel Murta,1,0.627,6681
214,Coronel Pacheco,41,0.669,2141
215,Coronel Xavier Chaves,17,0.677,1800
216,Córrego Danta,13,0.69,2080
217,Córrego do Bom Jesus,59,0.69,2044
218,Córrego Fundo,46,0.68,4401
219,Córrego Novo,18,0.632,2034
220,Couto de Magalhães de Minas,7,0.659,3819
221,Crisólita,47,0.585,3485
222,Cristais,186,0.69,8793
223,Cristália,48,0.583,3038
224,Cristiano Otoni,44,0.695,4152
225,Cristina,38,0.67,5899
226,Crucilândia,95,0.65,2914
227,Cruzeiro da Fortaleza,7,0.696,3342
228,Cruzília,89,0.695,13235
229,Cuparaque,61,0.627,3877
230,Curral de Dentro,42,0.585,5820
231,Curvelo,930,0.713,66960
232,Datas,43,0.616,3087
233,Delfim Moreira,62,0.669,2998
234,Delfinópolis,27,0.74,4810
235,Delta,476,0.639,7329
236,Descoberto,50,0.68,4060
237,Desterro de Entre Rios,47,0.639,3568
238,Desterro do Melo,9,0.631,1375
239,Diamantina,166,0.716,40491
240,Diogo de Vasconcelos,19,0.601,1096
241,Dionísio,39,0.7,7122
242,Divinésia,40,0.657,2175
243,Divino,105,0.605,10652
244,Divino das Laranjeiras,86,0.66,4106
245,Divinolândia de Minas,14,0.623,5751
246,Divinópolis,1893,0.764,190832
247,Divisa Alegre,33,0.608,5686
248,Divisa Nova,65,0.67,4645
249,Divisópolis,41,0.609,6390
250,Dom Bosco,81,0.67,2050
251,Dom Cavati,66,0.688,4595
252,Dom Joaquim,134,0.622,2919
253,Dom Silvério,25,0.71,4023
254,Dom Viçoso,2,0.687,997
255,Dona Euzébia,29,0.701,5105
256,Dores de Campos,86,0.69,8396
257,Dores de Guanhães,44,0.636,1622
258,Dores do Indaiá,224,0.72,12516
259,Dores do Turvo,6,0.629,2022
260,Doresópolis,54,0.69,1131
261,Douradoquara,17,0.706,1232
262,Durandé,47,0.645,3546
263,Elói Mendes,207,0.685,20303
264,Engenheiro Caldas,99,0.644,8325
265,Engenheiro Navarro,30,0.655,4724
266,Entre Folhas,70,0.634,3885
267,Entre Rios de Minas,57,0.672,9797
268,Ervália,180,0.625,9422
269,Esmeraldas,439,0.67,55040
270,Espera Feliz,255,0.66,14080
271,Espinosa,255,0.627,17597
272,Espírito Santo do Dourado,72,0.685,1682
273,Estiva,152,0.691,4850
274,Estrela Dalva,17,0.71,1780
275,Estrela do Indaiá,5,0.68,2767
276,Estrela do Sul,69,0.696,6009
277,Eugenópolis,242,0.675,7358
278,Ewbank da Câmara,11,0.68,3433
279,Extrema,2605,0.732,25951
280,Fama,25,0.72,1512
281,Faria Lemos,50,0.687,2324
282,Felício dos Santos,9,0.606,2221
283,São Gonçalo do Rio Preto,3,0.64,1939
284,Felisburgo,53,0.583,5034
285,Felixlândia,97,0.648,10850
286,Fernandes Tourinho,21,0.65,2008
287,Ferros,121,0.603,5028
288,Fervedouro,101,0.58,4745
289,Florestal,88,0.72,5479
290,Formiga,892,0.755,58961
291,Formoso,84,0.64,5162
292,Fortaleza de Minas,8,0.67,2945
293,Fortuna de Minas,19,0.696,1859
294,Francisco Badaró,3,0.622,3170
295,Francisco Dumont,20,0.625,3186
296,Francisco Sá,224,0.654,14810
297,Franciscópolis,11,0.603,2396
298,Frei Gaspar,73,0.59,1916
299,Frei Inocêncio,288,0.648,6728
300,Frei Lagonegro,15,0.54,616
301,Fronteira,408,0.684,13130
302,Fronteira dos Vales,17,0.59,3021
303,Fruta de Leite,30,0.544,2036
304,Frutal,1950,0.73,45843
305,Funilândia,27,0.655,2029
306,Galiléia,80,0.654,5657
307,Gameleiras,44,0.65,1406
308,Glaucilândia,18,0.679,1048
309,Goiabeira,33,0.647,2464
310,Goianá,34,0.716,2969
311,Gonçalves,20,0.68,1144
312,Gonzaga,40,0.606,3221
313,Gouveia,114,0.68,8193
314,Governador Valadares,8642,0.727,248674
315,Grão Mogol,75,0.604,5188
316,Grupiara,5,0.731,1170
317,Guanhães,283,0.69,25318
318,Guapé,71,0.679,7111
319,Guaraciaba,31,0.623,3173
320,Guaraciama,10,0.677,3024
321,Guaranésia,316,0.701,16723
322,Guarani,25,0.677,6610
323,Guarará,9,0.652,3486
324,Guarda-Mor,102,0.69,3681
325,Guaxupé,968,0.75,46069
326,Guidoval,83,0.68,5191
327,Guimarânia,157,0.693,5914
328,Guiricema,167,0.674,4207
329,Gurinhatã,41,0.68,2672
330,Heliodora,62,0.657,4413
331,Iapu,148,0.654,7145
332,Ibertioga,1,0.657,3426
333,Ibiá,262,0.718,19484
334,Ibiaí,13,0.614,5980
335,Ibiracatu,23,0.591,3116
336,Ibiraci,116,0.706,8137
337,Ibirité,2178,0.7,158253
338,Ibitiúra de Minas,95,0.674,2347
339,Ibituruna,2,0.675,2465
340,Icaraí de Minas,25,0.624,2973
341,Igarapé,521,0.698,32518
342,Igaratinga,48,0.65,7628
343,Iguatama,102,0.71,6668
344,Ijaci,29,0.71,5151
345,Ilicínea,22,0.68,8991
346,Imbé de Minas,50,0.55,2037
347,Inconfidentes,88,0.69,3598
348,Indaiabira,40,0.61,2742
349,Indianópolis,127,0.674,3635
350,Ingaí,16,0.7,1620
351,Inhapim,304,0.66,13886
352,Inhaúma,88,0.7,4190
353,Inimutaba,63,0.664,4737
354,Ipaba,443,0.665,14614
355,Ipanema,241,0.693,14133
356,Ipatinga,9854,0.77,235407
357,Ipiaçu,57,0.696,3731
358,Ipuiúna,157,0.69,7382
359,Iraí de Minas,85,0.695,5152
360,Itabira,2992,0.76,101931
361,Itabirinha,116,0.653,8320
362,Itabirito,2842,0.73,43396
363,Itacambira,9,0.628,1004
364,Itacarambi,186,0.64,13771
365,Itaguara,372,0.691,9460
366,Itaipé,22,0.552,4912
367,Itajubá,1582,0.787,80074
368,Itamarandiba,126,0.65,21814
369,Itamarati de Minas,39,0.688,3208
370,Itambacuri,139,0.634,14445
371,Itambé do Mato Dentro,6,0.634,907
372,Itamogi,83,0.674,7695
373,Itamonte,328,0.705,9550
374,Itanhandu,288,0.74,12009
375,Itanhomi,118,0.65,8533
376,Itaobim,299,0.629,15673
377,Itapagipe,232,0.723,9369
378,Itapecerica,205,0.713,16418
379,Itapeva,516,0.72,4511
380,Itatiaiuçu,354,0.677,6218
381,Itaú de Minas,285,0.78,14527
382,Itaúna,1257,0.758,79872
383,Itaverava,10,0.627,2565
384,Itinga,45,0.6,6546
385,Itueta,482,0.635,3289
386,Ituiutaba,3867,0.74,92119
387,Itumirim,15,0.726,4696
388,Iturama,1168,0.747,32224
389,Itutinga,15,0.727,2755
390,Jaboticatubas,368,0.68,10722
391,Jacinto,251,0.62,9115
392,Jacuí,180,0.67,4529
393,Jacutinga,361,0.715,15560
394,Jaguaraçu,89,0.679,2137
395,Jaíba,448,0.638,17546
396,Jampruca,41,0.609,3256
397,Janaúba,1139,0.696,60294
398,Januária,285,0.66,41121
399,Japaraíba,32,0.721,2533
400,Japonvar,58,0.608,3042
401,Jeceaba,31,0.66,2985
402,Jenipapo de Minas,3,0.624,2863
403,Jequeri,11,0.601,7250
404,Jequitaí,67,0.643,5427
405,Jequitibá,40,0.69,1956
406,Jequitinhonha,137,0.615,16853
407,Jesuânia,50,0.66,3081
408,Joaíma,204,0.59,10241
409,Joanésia,64,0.626,2060
410,João Monlevade,1525,0.758,73080
411,João Pinheiro,664,0.7,36598
412,Joaquim Felício,26,0.637,2506
413,Jordânia,184,0.628,7171
414,José Gonçalves de Minas,5,0.632,1135
