,name_x,cases,IDHM,IBGE_POP
0,Abadia dos Dourados,57,0.69,4154
1,Abaeté,44,0.698,18464
2,Abre Campo,48,0.654,7101
3,Acaiaca,22,0.63,2550
4,Açucena,61,0.61,4790
5,Água Boa,3,0.58,6987
6,Água Comprida,5,0.675,1499
7,Aguanil,26,0.66,2296
8,Águas Formosas,280,0.645,14230
9,Águas Vermelhas,35,0.601,8932
10,Aimorés,272,0.684,19057
11,Aiuruoca,3,0.67,3042
12,Alagoa,13,0.649,1099
13,Albertina,9,0.67,1998
14,Além Paraíba,353,0.726,31942
15,Alfenas,576,0.76,68964
16,Alfredo Vasconcelos,16,0.675,4031
17,Almenara,615,0.642,31551
18,Alpercata,168,0.65,5617
19,Alpinópolis,69,0.725,14884
20,Alterosa,13,0.67,9956
21,Alto Caparaó,12,0.66,3915
22,Alto Rio Doce,60,0.62,4991
23,Alvarenga,125,0.59,2109
24,Alvinópolis,56,0.68,11344
25,Alvorada de Minas,48,0.57,1441
26,Amparo do Serra,11,0.64,2623
27,Andradas,209,0.73,27784
28,Cachoeira de Pajeú,170,0.578,4460
29,Andrelândia,66,0.7,9735
30,Angelândia,14,0.597,4036
31,Antônio Carlos,45,0.68,7825
32,Antônio Dias,69,0.645,4662
33,Antônio Prado de Minas,0,0.684,1003
34,Araçaí,4,0.695,1783
35,Aracitaba,0,0.66,1640
36,Araçuaí,37,0.66,23201
37,Araguari,2295,0.773,101933
38,Arantina,8,0.7,2633
39,Araponga,1,0.536,3022
40,Araporã,408,0.708,5848
41,Arapuá,19,0.72,2074
42,Araújos,42,0.698,6751
43,Araxá,890,0.772,88054
44,Arceburgo,30,0.68,8131
45,Arcos,274,0.75,33752
46,Areado,3,0.727,11478
47,Argirita,5,0.643,2192
48,Aricanduva,1,0.58,1684
49,Arinos,60,0.66,10806
50,Astolfo Dutra,110,0.69,11854
51,Ataléia,100,0.588,7176
52,Augusto de Lima,34,0.66,2827
53,Baependi,63,0.68,13077
54,Baldim,22,0.67,5023
55,Bambuí,28,0.741,19119
56,Bandeira,198,0.599,1789
57,Bandeira do Sul,19,0.69,4824
58,Barão de Cocais,372,0.722,25126
59,Barão de Monte Alto,52,0.649,4516
60,Barbacena,678,0.769,114563
61,Barra Longa,59,0.624,2304
62,Barroso,122,0.73,18874
63,Bela Vista de Minas,38,0.674,9377
64,Belmiro Braga,13,0.66,1316
65,Belo Horizonte,33544,0.81,2263631
66,Belo Oriente,453,0.69,19607
67,Belo Vale,70,0.655,3292
68,Berilo,5,0.628,3883
69,Bertópolis,8,0.594,2721
70,Berizal,2,0.604,2475
71,Betim,4750,0.75,372678
72,Bias Fortes,13,0.62,1497
73,Bicas,48,0.74,12894
74,Biquinhas,27,0.688,1635
75,Boa Esperança,84,0.7,32047
76,Bocaina de Minas,12,0.645,2396
77,Bocaiúva,235,0.7,36443
78,Bom Despacho,406,0.75,42068
79,Bom Jardim de Minas,5,0.67,5540
80,Bom Jesus da Penha,54,0.735,2794
81,Bom Jesus do Amparo,21,0.68,2512
82,Bom Jesus do Galho,74,0.623,9975
83,Bom Repouso,42,0.653,5652
84,Bom Sucesso,28,0.69,14116
85,Bonfim,42,0.637,3305
86,Bonfinópolis de Minas,56,0.68,4089
87,Bonito de Minas,5,0.537,2201
88,Borda da Mata,220,0.73,13622
89,Botelhos,47,0.7,11255
90,Botumirim,0,0.602,3470
91,Brasilândia de Minas,182,0.674,12341
92,Brasília de Minas,39,0.66,20565
93,Brás Pires,5,0.625,2202
94,Braúnas,16,0.624,1593
95,Brazópolis,237,0.69,7777
96,Brumadinho,764,0.747,28129
97,Bueno Brandão,45,0.66,5621
98,Buenópolis,87,0.669,7683
99,Bugre,41,0.627,1529
100,Buritis,238,0.672,15794
101,Buritizeiro,184,0.624,23526
102,Cabeceira Grande,35,0.648,5283
103,Cabo Verde,19,0.674,7582
104,Cachoeira da Prata,31,0.741,3528
105,Cachoeira de Minas,78,0.706,7000
106,Cachoeira Dourada,6,0.726,2219
107,Caetanópolis,65,0.706,8351
108,Caeté,282,0.728,35191
109,Caiana,16,0.633,2495
110,Cajuri,43,0.617,2093
111,Caldas,68,0.687,7675
112,Camacho,0,0.69,1458
113,Camanducaia,399,0.69,15290
114,Cambuí,288,0.75,22241
115,Cambuquira,14,0.7,10352
116,Campanário,15,0.616,2647
117,Campanha,75,0.71,13202
118,Campestre,102,0.698,11392
119,Campina Verde,95,0.7,14307
120,Campo Azul,1,0.621,1540
121,Campo Belo,561,0.711,47527
122,Campo do Meio,38,0.68,9130
123,Campo Florido,81,0.706,4412
124,Campos Altos,120,0.7,12861
125,Campos Gerais,76,0.682,19056
126,Canaã,1,0.649,1846
127,Canápolis,270,0.722,10029
128,Cana Verde,74,0.65,4040
129,Candeias,68,0.68,10112
130,Cantagalo,0,0.631,2477
131,Caparaó,29,0.624,2005
132,Capela Nova,2,0.648,2125
133,Capelinha,47,0.653,24567
134,Capetinga,23,0.675,5847
135,Capim Branco,34,0.695,8046
136,Capinópolis,275,0.723,14194
137,Capitão Andrade,16,0.624,3569
138,Capitão Enéas,119,0.639,11503
139,Capitólio,36,0.71,5002
140,Caputira,38,0.615,3778
141,Caraí,135,0.56,8799
142,Caranaíba,7,0.634,1176
143,Carandaí,120,0.7,18164
144,Carangola,489,0.695,26105
145,Caratinga,1286,0.706,67042
146,Carbonita,6,0.638,6710
147,Careaçu,100,0.68,4658
