,name_x,cases,IDHM,IBGE_POP
0,Abadia dos Dourados,38,0.69,4154
1,Abaeté,26,0.698,18464
2,Abre Campo,22,0.654,7101
3,Acaiaca,12,0.63,2550
4,Açucena,32,0.61,4790
5,Água Boa,1,0.58,6987
6,Água Comprida,2,0.675,1499
7,Aguanil,24,0.66,2296
8,Águas Formosas,209,0.645,14230
9,Águas Vermelhas,25,0.601,8932
10,Aimorés,176,0.684,19057
11,Aiuruoca,1,0.67,3042
12,Alagoa,0,0.649,1099
13,Albertina,3,0.67,1998
14,Além Paraíba,260,0.726,31942
15,Alfenas,293,0.76,68964
16,Alfredo Vasconcelos,12,0.675,4031
17,Almenara,433,0.642,31551
18,Alpercata,145,0.65,5617
19,Alpinópolis,41,0.725,14884
20,Alterosa,12,0.67,9956
21,Alto Caparaó,10,0.66,3915
22,Alto Rio Doce,57,0.62,4991
23,Alvarenga,114,0.59,2109
24,Alvinópolis,23,0.68,11344
25,Alvorada de Minas,44,0.57,1441
26,Amparo do Serra,3,0.64,2623
27,Andradas,95,0.73,27784
28,Cachoeira de Pajeú,32,0.578,4460
29,Andrelândia,32,0.7,9735
30,Angelândia,0,0.597,4036
31,Antônio Carlos,20,0.68,7825
32,Antônio Dias,52,0.645,4662
33,Antônio Prado de Minas,0,0.684,1003
34,Araçaí,4,0.695,1783
35,Aracitaba,0,0.66,1640
36,Araçuaí,26,0.66,23201
37,Araguari,1450,0.773,101933
38,Arantina,4,0.7,2633
39,Araponga,0,0.536,3022
40,Araporã,118,0.708,5848
41,Arapuá,17,0.72,2074
42,Araújos,16,0.698,6751
43,Araxá,468,0.772,88054
44,Arceburgo,22,0.68,8131
45,Arcos,122,0.75,33752
46,Areado,1,0.727,11478
47,Argirita,4,0.643,2192
48,Aricanduva,1,0.58,1684
49,Arinos,40,0.66,10806
50,Astolfo Dutra,69,0.69,11854
51,Ataléia,57,0.588,7176
52,Augusto de Lima,18,0.66,2827
53,Baependi,37,0.68,13077
54,Baldim,13,0.67,5023
55,Bambuí,23,0.741,19119
56,Bandeira,198,0.599,1789
57,Bandeira do Sul,8,0.69,4824
58,Barão de Cocais,228,0.722,25126
59,Barão de Monte Alto,24,0.649,4516
60,Barbacena,511,0.769,114563
61,Barra Longa,56,0.624,2304
62,Barroso,98,0.73,18874
63,Bela Vista de Minas,20,0.674,9377
64,Belmiro Braga,11,0.66,1316
65,Belo Horizonte,20276,0.81,2263631
66,Belo Oriente,239,0.69,19607
67,Belo Vale,53,0.655,3292
68,Berilo,5,0.628,3883
69,Bertópolis,4,0.594,2721
70,Berizal,0,0.604,2475
71,Betim,2591,0.75,372678
72,Bias Fortes,11,0.62,1497
73,Bicas,33,0.74,12894
74,Biquinhas,3,0.688,1635
75,Boa Esperança,72,0.7,32047
76,Bocaina de Minas,6,0.645,2396
77,Bocaiúva,92,0.7,36443
78,Bom Despacho,193,0.75,42068
79,Bom Jardim de Minas,3,0.67,5540
80,Bom Jesus da Penha,2,0.735,2794
81,Bom Jesus do Amparo,15,0.68,2512
82,Bom Jesus do Galho,50,0.623,9975
83,Bom Repouso,14,0.653,5652
