,name_x,cases,IDHM,IBGE_POP
0,Abadia dos Dourados,0,0.69,4154
1,Abaeté,0,0.698,18464
2,Abre Campo,0,0.654,7101
3,Acaiaca,0,0.63,2550
4,Açucena,0,0.61,4790
5,Água Boa,0,0.58,6987
6,Água Comprida,0,0.675,1499
7,Aguanil,0,0.66,2296
8,Águas Formosas,0,0.645,14230
9,Águas Vermelhas,0,0.601,8932
10,Aimorés,0,0.684,19057
11,Aiuruoca,0,0.67,3042
12,Alagoa,0,0.649,1099
13,Albertina,0,0.67,1998
14,Além Paraíba,0,0.726,31942
15,Alfenas,1,0.76,68964
16,Alfredo Vasconcelos,0,0.675,4031
17,Almenara,0,0.642,31551
18,Alpercata,0,0.65,5617
19,Alpinópolis,0,0.725,14884
20,Alterosa,0,0.67,9956
21,Alto Caparaó,0,0.66,3915
22,Alto Rio Doce,0,0.62,4991
23,Alvarenga,0,0.59,2109
24,Alvinópolis,0,0.68,11344
25,Alvorada de Minas,0,0.57,1441
26,Amparo do Serra,0,0.64,2623
27,Andradas,0,0.73,27784
28,Cachoeira de Pajeú,0,0.578,4460
29,Andrelândia,0,0.7,9735
30,Angelândia,0,0.597,4036
31,Antônio Carlos,0,0.68,7825
32,Antônio Dias,0,0.645,4662
33,Antônio Prado de Minas,0,0.684,1003
34,Araçaí,0,0.695,1783
35,Aracitaba,0,0.66,1640
36,Araçuaí,0,0.66,23201
37,Araguari,0,0.773,101933
38,Arantina,0,0.7,2633
39,Araponga,0,0.536,3022
40,Araporã,0,0.708,5848
41,Arapuá,0,0.72,2074
42,Araújos,0,0.698,6751
43,Araxá,0,0.772,88054
44,Arceburgo,0,0.68,8131
45,Arcos,0,0.75,33752
46,Areado,0,0.727,11478
47,Argirita,0,0.643,2192
48,Aricanduva,0,0.58,1684
49,Arinos,0,0.66,10806
50,Astolfo Dutra,0,0.69,11854
51,Ataléia,0,0.588,7176
52,Augusto de Lima,0,0.66,2827
53,Baependi,0,0.68,13077
54,Baldim,0,0.67,5023
55,Bambuí,0,0.741,19119
56,Bandeira,0,0.599,1789
57,Bandeira do Sul,0,0.69,4824
58,Barão de Cocais,0,0.722,25126
59,Barão de Monte Alto,0,0.649,4516
60,Barbacena,0,0.769,114563
61,Barra Longa,0,0.624,2304
62,Barroso,0,0.73,18874
63,Bela Vista de Minas,0,0.674,9377
64,Belmiro Braga,0,0.66,1316
65,Belo Horizonte,163,0.81,2263631
66,Belo Oriente,0,0.69,19607
67,Belo Vale,0,0.655,3292
68,Berilo,0,0.628,3883
69,Bertópolis,0,0.594,2721
70,Berizal,0,0.604,2475
71,Betim,5,0.75,372678
72,Bias Fortes,0,0.62,1497
73,Bicas,0,0.74,12894
74,Biquinhas,0,0.688,1635
75,Boa Esperança,1,0.7,32047
76,Bocaina de Minas,0,0.645,2396
77,Bocaiúva,0,0.7,36443
78,Bom Despacho,1,0.75,42068
79,Bom Jardim de Minas,0,0.67,5540
80,Bom Jesus da Penha,0,0.735,2794
81,Bom Jesus do Amparo,0,0.68,2512
82,Bom Jesus do Galho,0,0.623,9975
83,Bom Repouso,0,0.653,5652
84,Bom Sucesso,0,0.69,14116
85,Bonfim,0,0.637,3305
86,Bonfinópolis de Minas,0,0.68,4089
87,Bonito de Minas,0,0.537,2201
88,Borda da Mata,0,0.73,13622
89,Botelhos,0,0.7,11255
90,Botumirim,0,0.602,3470
91,Brasilândia de Minas,0,0.674,12341
92,Brasília de Minas,0,0.66,20565
93,Brás Pires,0,0.625,2202
94,Braúnas,0,0.624,1593
95,Brazópolis,0,0.69,7777
96,Brumadinho,0,0.747,28129
97,Bueno Brandão,0,0.66,5621
98,Buenópolis,0,0.669,7683
99,Bugre,0,0.627,1529
100,Buritis,0,0.672,15794
101,Buritizeiro,0,0.624,23526
102,Cabeceira Grande,0,0.648,5283
103,Cabo Verde,0,0.674,7582
104,Cachoeira da Prata,0,0.741,3528
105,Cachoeira de Minas,0,0.706,7000
106,Cachoeira Dourada,0,0.726,2219
107,Caetanópolis,0,0.706,8351
108,Caeté,0,0.728,35191
109,Caiana,0,0.633,2495
110,Cajuri,0,0.617,2093
111,Caldas,0,0.687,7675
112,Camacho,0,0.69,1458
113,Camanducaia,0,0.69,15290
114,Cambuí,0,0.75,22241
115,Cambuquira,0,0.7,10352
116,Campanário,0,0.616,2647
117,Campanha,0,0.71,13202
118,Campestre,0,0.698,11392
119,Campina Verde,0,0.7,14307
120,Campo Azul,0,0.621,1540
121,Campo Belo,1,0.711,47527
122,Campo do Meio,0,0.68,9130
123,Campo Florido,0,0.706,4412
124,Campos Altos,1,0.7,12861
125,Campos Gerais,0,0.682,19056
126,Canaã,0,0.649,1846
127,Canápolis,0,0.722,10029
128,Cana Verde,0,0.65,4040
129,Candeias,0,0.68,10112
130,Cantagalo,0,0.631,2477
131,Caparaó,0,0.624,2005
132,Capela Nova,0,0.648,2125
133,Capelinha,0,0.653,24567
134,Capetinga,0,0.675,5847
135,Capim Branco,0,0.695,8046
136,Capinópolis,0,0.723,14194
137,Capitão Andrade,0,0.624,3569
138,Capitão Enéas,0,0.639,11503
139,Capitólio,0,0.71,5002
140,Caputira,0,0.615,3778
141,Caraí,0,0.56,8799
142,Caranaíba,0,0.634,1176
143,Carandaí,0,0.7,18164
144,Carangola,0,0.695,26105
145,Caratinga,0,0.706,67042
146,Carbonita,0,0.638,6710
147,Careaçu,0,0.68,4658
148,Carlos Chagas,0,0.648,12898
149,Carmésia,0,0.65,1303
150,Carmo da Cachoeira,0,0.655,8903
151,Carmo da Mata,0,0.69,8185
152,Carmo de Minas,0,0.682,10143
153,Carmo do Cajuru,1,0.71,17689
154,Carmo do Paranaíba,0,0.705,24601
155,Carmo do Rio Claro,0,0.733,14245
156,Carmópolis de Minas,0,0.7,11739
157,Carneirinho,0,0.741,6936
158,Carrancas,0,0.725,2581
159,Carvalhópolis,0,0.72,2434
160,Carvalhos,0,0.65,2414
161,Casa Grande,0,0.652,1122
162,Cascalho Rico,0,0.721,1794
163,Cássia,0,0.7,13945
164,Conceição da Barra de Minas,0,0.685,2765
165,Cataguases,0,0.75,66352
166,Catas Altas,0,0.684,4233
167,Catas Altas da Noruega,0,0.6,1428
168,Catuji,0,0.54,1666
169,Catuti,0,0.621,2974
170,Caxambu,0,0.743,21077
171,Cedro do Abaeté,0,0.68,1033
172,Central de Minas,0,0.665,5594
173,Centralina,0,0.68,9295
174,Chácara,0,0.664,1903
175,Chalé,0,0.655,2781
176,Chapada do Norte,0,0.598,5689
177,Chapada Gaúcha,0,0.635,5717
178,Chiador,0,0.711,1904
179,Cipotânea,0,0.579,2993
180,Claraval,0,0.698,2518
181,Claro dos Poções,0,0.67,5249
182,Cláudio,0,0.71,20725
183,Coimbra,0,0.669,5143
184,Coluna,0,0.583,3770
185,Comendador Gomes,0,0.7,1508
186,Comercinho,0,0.593,3545
187,Conceição da Aparecida,0,0.691,6155
188,Conceição das Pedras,0,0.67,1509
189,Conceição das Alagoas,0,0.71,20619
190,Conceição de Ipanema,0,0.68,1462
191,Conceição do Mato Dentro,0,0.634,12213
192,Conceição do Pará,0,0.7,2005
193,Conceição do Rio Verde,0,0.665,11353
194,Conceição dos Ouros,0,0.703,8076
195,Cônego Marinho,0,0.621,1908
196,Confins,0,0.747,5396
197,Congonhal,0,0.71,7693
198,Congonhas,0,0.753,47032
199,Congonhas do Norte,0,0.568,2582
200,Conquista,0,0.73,5621
201,Conselheiro Lafaiete,0,0.76,110658
202,Conselheiro Pena,0,0.662,17446
203,Consolação,0,0.67,949
204,Contagem,5,0.76,595593
205,Coqueiral,0,0.69,6556
206,Coração de Jesus,0,0.642,14668
207,Cordisburgo,0,0.66,5947
208,Cordislândia,0,0.66,2728
209,Corinto,0,0.68,21041
210,Coroaci,0,0.626,5168
211,Coromandel,0,0.708,21503
212,Coronel Fabriciano,1,0.755,99429
213,Coronel Murta,0,0.627,6681
214,Coronel Pacheco,0,0.669,2141
215,Coronel Xavier Chaves,0,0.677,1800
216,Córrego Danta,0,0.69,2080
217,Córrego do Bom Jesus,0,0.69,2044
218,Córrego Fundo,0,0.68,4401
219,Córrego Novo,0,0.632,2034
220,Couto de Magalhães de Minas,0,0.659,3819
221,Crisólita,0,0.585,3485
222,Cristais,0,0.69,8793
223,Cristália,0,0.583,3038
224,Cristiano Otoni,0,0.695,4152
225,Cristina,0,0.67,5899
226,Crucilândia,0,0.65,2914
227,Cruzeiro da Fortaleza,0,0.696,3342
228,Cruzília,0,0.695,13235
229,Cuparaque,0,0.627,3877
230,Curral de Dentro,0,0.585,5820
231,Curvelo,0,0.713,66960
232,Datas,0,0.616,3087
233,Delfim Moreira,0,0.669,2998
234,Delfinópolis,0,0.74,4810
235,Delta,0,0.639,7329
236,Descoberto,0,0.68,4060
237,Desterro de Entre Rios,0,0.639,3568
238,Desterro do Melo,0,0.631,1375
239,Diamantina,0,0.716,40491
240,Diogo de Vasconcelos,0,0.601,1096
241,Dionísio,0,0.7,7122
242,Divinésia,0,0.657,2175
243,Divino,0,0.605,10652
244,Divino das Laranjeiras,0,0.66,4106
245,Divinolândia de Minas,0,0.623,5751
246,Divinópolis,9,0.764,190832
247,Divisa Alegre,0,0.608,5686
248,Divisa Nova,0,0.67,4645
249,Divisópolis,0,0.609,6390
250,Dom Bosco,0,0.67,2050
251,Dom Cavati,0,0.688,4595
252,Dom Joaquim,0,0.622,2919
253,Dom Silvério,0,0.71,4023
254,Dom Viçoso,0,0.687,997
255,Dona Euzébia,0,0.701,5105
256,Dores de Campos,0,0.69,8396
257,Dores de Guanhães,0,0.636,1622
258,Dores do Indaiá,0,0.72,12516
259,Dores do Turvo,0,0.629,2022
260,Doresópolis,0,0.69,1131
261,Douradoquara,0,0.706,1232
262,Durandé,0,0.645,3546
263,Elói Mendes,0,0.685,20303
264,Engenheiro Caldas,0,0.644,8325
265,Engenheiro Navarro,0,0.655,4724
266,Entre Folhas,0,0.634,3885
267,Entre Rios de Minas,0,0.672,9797
268,Ervália,0,0.625,9422
269,Esmeraldas,0,0.67,55040
270,Espera Feliz,0,0.66,14080
271,Espinosa,0,0.627,17597
272,Espírito Santo do Dourado,0,0.685,1682
273,Estiva,0,0.691,4850
274,Estrela Dalva,0,0.71,1780
275,Estrela do Indaiá,0,0.68,2767
276,Estrela do Sul,0,0.696,6009
277,Eugenópolis,0,0.675,7358
278,Ewbank da Câmara,0,0.68,3433
279,Extrema,1,0.732,25951
280,Fama,0,0.72,1512
281,Faria Lemos,0,0.687,2324
282,Felício dos Santos,0,0.606,2221
283,São Gonçalo do Rio Preto,0,0.64,1939
284,Felisburgo,0,0.583,5034
285,Felixlândia,0,0.648,10850
286,Fernandes Tourinho,0,0.65,2008
287,Ferros,0,0.603,5028
288,Fervedouro,0,0.58,4745
289,Florestal,0,0.72,5479
290,Formiga,0,0.755,58961
291,Formoso,0,0.64,5162
292,Fortaleza de Minas,0,0.67,2945
293,Fortuna de Minas,0,0.696,1859
294,Francisco Badaró,0,0.622,3170
295,Francisco Dumont,0,0.625,3186
296,Francisco Sá,0,0.654,14810
297,Franciscópolis,0,0.603,2396
298,Frei Gaspar,0,0.59,1916
299,Frei Inocêncio,0,0.648,6728
300,Frei Lagonegro,0,0.54,616
301,Fronteira,0,0.684,13130
302,Fronteira dos Vales,0,0.59,3021
303,Fruta de Leite,0,0.544,2036
304,Frutal,0,0.73,45843
305,Funilândia,0,0.655,2029
306,Galiléia,0,0.654,5657
307,Gameleiras,0,0.65,1406
308,Glaucilândia,0,0.679,1048
309,Goiabeira,0,0.647,2464
310,Goianá,0,0.716,2969
311,Gonçalves,0,0.68,1144
312,Gonzaga,0,0.606,3221
313,Gouveia,0,0.68,8193
314,Governador Valadares,2,0.727,248674
315,Grão Mogol,0,0.604,5188
316,Grupiara,0,0.731,1170
317,Guanhães,0,0.69,25318
